index,type,question,answer_1,answer_2,answer_3,answer_4,answer
인덱스,문제타입,,보기1,보기2,보기3,보기4,정답
1,DIGITAL,"이것은 인터넷을 사용하는 네티즌들이 이메일 등의 다른 전파 가능한 매체를 활용하여 스스로 특정한 기업이나 특정 제품을 홍보하기 위해 다양한 것을 제작하여 널리 퍼지는 마케팅 기법으로, 마치 컴퓨터 바이러스처럼 확산된다고 하여 이러한 이름이 붙었다. 이것은 새로운 인터넷 광고 기법으로 주목받기 시작하였고, 해당 기업이 자신의 제품을 직접 홍보를 하지 아니하고, 소비자의 입에서 입으로 전해지는 광고라는 점에서 기존의 광고와는 차별성이 있다. 기존의 입소문 마케팅과 일맥상통하지만 전파하는 방식이 다른데, 입소문 마케팅은 정보의 제공자를 중심으로 메시지가 퍼져나가지만 이것은 정보 수용자를 중심으로 하여 퍼져나가는 특징이 있다. 이것은 무엇인가?",디마케팅(Demarketing),그로스 해킹(Growth Hacking),바이럴마케팅(Viral Marketing),노이즈 마케팅(Noise Marketing),ANSWER_1
2,DIGITAL,"다음에서 설명하는 것으로 알맞은 것을 고르시오. <br><br>「 이것은 사이버 공간의 특징 중 하나이며, 자신의 신분을 노출시키지 않고 활동할 수 있는 것을 말한다. 」",현실성,신속성,비대면성,익명성,ANSWER_4
3,DIGITAL,다음 중 컴퓨터의 5대 장치로 틀린 것을 고르시오.,입력장치,기억장치,해독장치,출력장치,ANSWER_3
4,DIGITAL,다음 중 운영체제의 운용 방식으로 알맞은 것은?,일괄 프로그래밍 시스템,다중 분할 시스템,분산 처리 시스템,실시간 모드 시스템,ANSWER_3
5,DIGITAL,다음 중 컴퓨터의 처리 능력에 따른 분류로 거리가 먼 것을 고르시오.,초대형 컴퓨터,미니 컴퓨터,범용 컴퓨터,개인용 컴퓨터,ANSWER_3
6,DIGITAL,다음에서 설명하는 것으로 알맞은 것은? <br><br>“이것은 사이버 범죄 중 하나이다. 특정 시스템에 대량 패킷을 보내 시스템에 과부하가 걸리도록 하여 시스템의 성능을 저하시키거나 서비스를 불능시키는 것을 말한다.”,DOS 공격,파밍,피싱,스푸핑,ANSWER_1
7,DIGITAL,다음 중 패스워드 관리에 대한 대책으로 틀린 것은?,패스워드는 주기적으로 변경하여 관리한다.,패스워드는 단순한 형태를 피한다.,패스워드는 암호화하여 그 내용을 알 수 없도록 한다.,패스워드는 기억하기 쉽게 핸드폰 번호나 생일을 이용한다.,ANSWER_4
8,DIGITAL,다음 중 애플사에서 개발한 모바일 운영체제는?,iOS,안드로이드,윈도우,심비안,ANSWER_1
9,DIGITAL,다음 중 음성 인터넷 프로토콜(VoIP)을 이용하여 소비자에게 음성 통신을 제공하는 시스템은?,Http,IPTV,IP전화,PACS,ANSWER_3
10,DIGITAL,다음 중 보조기억장치의 종류로 가장 거리가 먼 것은?,CD/DVD,DRAM,자기 테이프,SD 메모리,ANSWER_2
11,PYTHON,단일요소(값이 1개)를 가지는 튜플을 선언하는 방법 중 맞는 것은?,tu = 300,tu = (300),tu = [300],"tu = 300,",ANSWER_4
12,PYTHON,다음 함수에 대한 설명으로 올바르지 않은 것은?,지역변수는 함수 내부에서 선언되고 자신만 사용하는 변수를 의미한다.,전역변수는 함수보다 사전에 정의된 변수로 모든 함수들에서 공동으로 사용할 수 있다.,모듈은 함수들의 집합으로 서로 다른 폴더에 저장해도 된다.,"from 모듈명 import 함수명1, 함수명2와 같이 사용한다.",ANSWER_3
13,PYTHON,다음 코딩의 결과로 올바른 것은?<br><br><br>- 조 건 -<br><br>amount = 1000<br>if amount > 1500:<br>  print(“많다”)<br>print('적당하다“),“많다” 와 “적당하다”가 출력된다.,“많다”가 출력된다,“적당하다” 가 출력된다.,둘 다 출력되지 않는다.,ANSWER_3
14,PYTHON,다음 코드에 대한 설명 중 올바른 것은?<br><br><br>- 조 건 -<br><br>if(hakjum >= 90):<br>    print(“당신의 학점은 A입니다.”)<br>elif(hakjum > 80):<br>    print(“당신의 학점은 B입니다.”)<br>else:<br>    print(“안타깝지만 C입니다.”),"변수 hakjum이 90점 이상인 경우, “당신의 학점은 A입니다“를 출력한다.","변수 hakjum이 80점 미만인 경우, “당신의 학점은 B입니다”를 출력한다.","변수 hakjum이 70점 이하인 경우, “당신의 학점은 B입니다”를 출력한다.","변수 hakjum이 60점 미만인 경우, “당신의 학점은 B입니다”를 출력한다.",ANSWER_1
15,PYTHON,"다음 코드의 실행 결과로 올바른 것은?<br><br><br>- 조 건 -<br><br>for num in range(1, 11):<br>    if (num % 5 != 0):<br>       print(num)",for 문으로 1에서 11까지는 입력하고 5의 정수는 아니다.,do while 문으로 1에서 10까지는 출력하고 5의 실수는 아니다.,do while 문으로 1에서 10까지는 입력하고 5의 배수는 건너뛴다.,for 문으로 1에서 10까지 출력하고 5의 배수는 건너뛴다.,ANSWER_4
16,PYTHON,다음 중 파이썬 자료형에 대한 설명 중 올바르지 않은 것은?,파이썬은 기본형과 구조적 자료형을 갖는다.,"기본형은 숫자형, 논리형, 문자열로 구성된다.","구조적 자료형은 리스트, 튜플, 딕셔너리로 구성된다.",문자열 자료형을 저장하기 위해서는 큰따옴표(“ ”)만 사용할 수 있다.,ANSWER_4
17,PYTHON,다음 중 파이썬의 설치 및 사용에 대한 설명 중 올바르지 않은 것은?,대화형 모드는 프롬프트를 직접 사용한다.,"파이썬 개발환경을 IDLE라고 하고, 대화형 모드와 스크립트 모드로 구성되어 있다.",대화형 모드는 IDLE 환경에서 복잡한 코드를 작성하는데 이용한다.,스크립트 모드는 긴 코드를 전문적으로 작성하는데 이용한다.,ANSWER_3
18,PYTHON,다음 중 파이썬과 같은 인터프리터 방식의 언어에 대산 설명중 올바르지 않은 것은?,명령문마다 번역 및 실행을 하는 특성이 있어 실행속도는 느리다.,대화식으로 실행할 수 없다.,링크 과정이 없으므로 구조가 비교적 간단하다.,여러 가지 명령어를 만나면 즉시 번역해서 실행한다.,ANSWER_2
19,PYTHON,다음 # 문자를 50개 출력을 하는 코드로 맞는 것은?,print(‘#’+50),print(‘#’*50),print(‘#’<>50),print(‘#’=50),ANSWER_2
20,PYTHON,다음 중 파이썬에서 문자열을 표현하는 방법 중 잘못 사용된 것은?,“Hello Python”,‘I Love “For” You’,‘Want ’To?‘.’,‘don\’t go’,ANSWER_3
21,LINUX,"다음에서 설명하는 리눅스 디렉터리로 알맞은 것은?<br><br>「 임시 저장 디렉터리로서 각종 프로그램이나 소켓 파일, 프로세스 작업을 할 때 임시로 생성되는 파일들이 저장되는 공간이다. 」",/dev,/etc,/proc,/tmp,ANSWER_4
22,LINUX,"다음 설명에 해당하는 조직으로 알맞은 것은?<br><br>「 1985년에 자유 소프트웨어의 생산, 보급, 발전을 목표로 만든 비영리 조직이다. 」",GNU,FSF,GPL,OSS,ANSWER_2
23,LINUX,다음 중 리눅스 개발에 영향을 준 미닉스(Minix) 운영체제를 개발한 인물로 알맞은 것은?,리누스 토발즈,리처드 스톨먼,앤드루 스튜어트 타넨바움,데니스 리치,ANSWER_3
24,LINUX,다음 중 윈도우 운영체제 환경에서 리눅스를 설치하기 위해 사용하는 프로그램으로 가장 알맞은 것은?,XEN,Docker,SAMBA,VirtualBox,ANSWER_4
25,LINUX,다음 중 일반적으로 권장하는 파티션 분할 영역의 조합으로 틀린 것은?,"/, SWAP, /home, /usr","/, SWAP, /boot, /home","/, SWAP, /etc, /var","/, SWAP, /usr, /var",ANSWER_3
26,LINUX,다음 중 리눅스 커널이 들어있는 디렉터리로 알맞은 것은?,/boot,/etc,/lib,/tmp,ANSWER_1
27,LINUX,현재 시스템에 설정된 런레벨 정보를 확인하려고 한다. 다음 ( 괄호 ) 안에 들어갈 내용으로 알맞은 것은?<br><br>「 # systemctl  (  괄호  )  」,level,runlevel,get-runlevel,get-default,ANSWER_4
28,LINUX,GRUB 부트 메뉴에서 커널과 관련된 매개변수(parameter)를 수정하려고 할 때 입력하는 키로 알맞은 것은?,[a],[b],[c],[e],ANSWER_4
29,LINUX,다음 중 man 명령 실행과 가장 관계가 깊은 명령어로 알맞은 것은?,cat,more,less,which ,ANSWER_3
30,LINUX,다음 중 로그인하지 않은 사용자에게 메시지를 전달할 때 사용하는 명령으로 알맞은 것은?,talk,mesg,mail,write,ANSWER_3
31,SEARCH,온라인 비즈니스 모델의 성공 요인이 아닌 것은?,판매 경험,지속적인 수익창출,특허,스피드로 기회 선점,ANSWER_1
32,SEARCH,다음에서 설명하는 온라인 비즈니스는 무엇인가?<br><br>㉠ 물리적 상품과 서비스의 구매 편리성과 구매 안정성을 통시에 충족시킬 수 있다.<br>㉡ 소셜미디어와 온라인 미디어를 활용하는 전자상거래의 일종이다.<br>㉢ 가상의 마켓 플레이스에서 재화와 서비스를 판매하는 비즈니스 모델을 일컫는 포괄적인 개념이다.,소셜미디어,검색엔진,디지털콘텐츠,온라인커머스,ANSWER_4
33,SEARCH,디지털마케팅이 기존 마케팅과 차별화되는 요인이 아닌 것은?,데이터 중심,저렴한 가격,고객의 도달 및 세분화,독점력,ANSWER_4
34,SEARCH,소셜미디어의 특징이 아닌 것은?,참여,비공개,대화,연결,ANSWER_3
35,SEARCH,다음 중 검색광고 성과지표에 대한 설명으로 틀린 것은?,CVR : 노출수 대비 클릭수 비율,ROAS : 광고비 대비 수익률,CPS : 구매 당 비용,Conversion : 광고를 통한 유입 후 전환을 취하는 것,ANSWER_1
36,SEARCH,다음 중 검색광고 용어에 대한 설명으로 틀린 것은?,T&D : 광고에 노출되는 제목과 설명,순위지수 : 광고노출 순위를 결정하는 지수,PV : 중복되지 않은 방문자 수치로 순 방문자 수,KPI : 수치로 표현 가능한 광고 목표. 핵심성과지표,ANSWER_3
37,SEARCH,"음 중 사회 이념을 광고 메시지로 사용함으로써 옹호하고, 관련된 가치관 또는 제도 등에 활력을 불어넣어 주는 광고의 역할은 무엇인가?",커뮤니케이션 역할,사회적 역할,문화적 역할,교육적 역할,ANSWER_3
38,SEARCH,다음 중 대량관리 기능에 대한 설명으로 틀린 것은?,시스템에 등록한 광고를 다운로드 받을 수 있다.,대량으로 키워드 입찰가를 수정할 수 있다.,"대량 그룹 복사 시, 그룹 하위항목인 확장소재는 선택하여 복사할 수 없다.",대량관리에서 대량 키워드 삭제는 불가하다.,ANSWER_3
39,SEARCH,다음 중 소재 노출 방식을 설정할 수 있는 검색광고 구조 단위는 무엇인가?,캠페인,광고그룹,키워드,소재,ANSWER_2
40,SNS,다음 소셜미디어 중 짧은 포맷의 영상 콘텐츠를 업로드하는 플랫폼 중 하나로 중국기업이 만든 것은?,인스타그램,유튜브,틱톡,페이스북,ANSWER_3
41,SNS,다음 중 마케팅에서 제품/서비스를 사용할 핵심 고객(타겟)을 이해하기 위해 가상의 고객(타겟)을 정의하는 방법을 나타내는 용어로 배우들이 쓰던 가면을 가리키는 단어에서 유래된 것은?,페르소나,세그먼트,프로모션,포지셔닝,ANSWER_1
42,SNS,다음 중 Meta for Business의 Shops 광고 솔루션 기능이 아닌 것은?,쇼핑맞춤타겟,제품이 태그된 브랜디드 콘텐츠,라이브 쇼핑,제품이 태그된 다이내믹 광고,ANSWER_3
43,SNS,다음 중 트루뷰 인스트림 광고 노출 시 ‘건너뛰기’ 버튼이 노출되는 시점으로 알맞은 것은?,3초 후,5초 후,7초 후,10초 후,ANSWER_2
44,SNS,다음 중 카카오광고의 기본 타겟팅 방식이 아닌 것은 ?,키워드 타겟,카테고리 타겟,지역 타겟,리타게팅 타겟,ANSWER_4
45,SNS,"디지털 놀이문화를 뜻하는 것으로 디지털 유행코드를 뜻하는 단어이며, 한국어로 ‘짤방’으로 불리는 단어를 무엇이라 하는가?",밈(meme),MZ 세대,UCC,바이럴 비디오,ANSWER_1
46,SNS,다음 중 페이스북 광고 형식의 유형 중 카달로그가 필요한 광고 형식은?,이미지 광고,동영상 광고,슬라이드 광고,컬렉션 광고,ANSWER_4
47,SNS,다음 중 동영상 광고 품질평가점수에 영향을 주지 않는 것은 무엇인가?,영상 조회율,영상 재생 진행률,영상 클릭률,동영상 광고비 수준,ANSWER_4
48,SNS,다음 중 어린이 시청자만을 위한 맞춤 앱으로 가장 안전한 환경에서 광고 노출이 가능한 게재 위치는?,유튜브 키즈,유튜브,유튜브 뮤직,유튜브 프리미엄,ANSWER_1
49,SNS,"다음 중 특정 키워드가 포함된 영상, 특정 연령 및 성병 등을 제외하는 타겟팅 방식은 무엇인가?",관심사 타겟팅,인구통계 타겟팅,리마케팅,제외 타겟팅,ANSWER_4
